municipio;cpr;unidade;status
Cotegipe;CPR-O;84ª CIPM/BARREIRAS;MAPEADO
Cravolândia;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Crisópolis;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Cristópolis;CPR-O;83ª CIPM/BARREIRAS;MAPEADO
Cruz das Almas;CPR-R;27ª CIPM/CRUZ DAS ALMAS;MAPEADO
Curaçá;CPR-N;45ª CIPM/CURAÇA;MAPEADO
Dário Meira;CPR-MRC;55ª CIPM/IPIAÚ;MAPEADO
Dias d'Ávila;CPRMS;36ª CIPM/DIAS D'ÁVILA;MAPEADO
Dom Basílio;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Dom Macedo Costa;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Elísio Medrado;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
Encruzilhada;CPR-SO;80ª CIPM/CANDIDO SALES;MAPEADO
Entre Rios;CPR-LN;56ª CIPM/ENTRE RIOS;MAPEADO
Esplanada;CPR-LN;56ª CIPM/ENTRE RIOS;MAPEADO
Euclides da Cunha;CPR-NE;5º BPM/EUCLIDES DA CUNHA;MAPEADO
Eunápolis;CPR-ES;28º BPM/EUNÁPOLIS;MAPEADO
Fátima;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Feira da Mata;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Feira de Santana;CPR-L;25º BPM/FEIRA DE SANTANA | 64ª E 65ª CIPM/FEIRA DE SANTANA | 67ª CIPM/FEIRA DE SANTANA;MULTIPLA
Filadélfia;CPR-N;6º BPM/SENHOR DO BONFIM;MAPEADO
Firmino Alves;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Floresta Azul;CPR-S;63ª CIPM/IBICARAÍ;MAPEADO
Formosa do Rio Preto;CPR-O;86ª CIPM/FORMOSA DO RIO PRETO;MAPEADO
Gandu;CPR-R;60ª CIPM/GANDU;MAPEADO
Gavião;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Gentio do Ouro;CPR-CN;10ª CIPM/XIQUE-XIQUE;MAPEADO
Glória;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Gongogi;CPR-S;61ª CIPM/UBAITABA;MAPEADO
Governador Mangabeira;CPR-R;27ª CIPM/CRUZ DAS ALMAS;MAPEADO
Guajeru;CPR-SO;24º BPM/BRUMADO;MAPEADO
Guanambi;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Guaratinga;CPR-ES;28º BPM/EUNÁPOLIS;MAPEADO
Heliópolis;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Iaçu;CPR-CH;11º BPM/ITABERABA;MAPEADO
Ibiassucê;CPR-MO;94ª CIPM/CAETITÉ;MAPEADO
Ibicaraí;CPR-S;63ª CIPM/IBICARAÍ;MAPEADO
Ibicoara;CPR-CH;11º BPM/ITABERABA;MAPEADO
Ibicuí;CPR-S;8ª CIPM/ITAPETINGA;MAPEADO
Ibipeba;CPR-CN;7º BPM/IRECÊ;MAPEADO
