municipio;cpr;unidade;status
Sento Sé;CPR-N;96ª CIPM/SOBRADINHO;MAPEADO
Serra Dourada;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
Serra Preta;CPR-CH;98ª CIPM/IPIRÁ;MAPEADO
Serrinha;CPR-NE;16º BPM/SERRINHA;MAPEADO
Serrolândia;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Simões Filho;CPRMS;22ª CIPM/SIMÕES FILHO;MAPEADO
Sítio do Mato;CPR-MO;38ª CIPM/BOM JESUS DA LAPA;MAPEADO
Sítio do Quinto;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Sobradinho;CPR-N;96ª CIPM/SOBRADINHO;MAPEADO
Souto Soares;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Tabocas do Brejo Velho;CPR-O;30ª CIPM/SANTA MARIA DA VITÓRIA;MAPEADO
Tanhaçu;CPR-SO;24º BPM/BRUMADO;MAPEADO
Tanque Novo;CPR-MO;94ª CIPM/CAETITÉ;MAPEADO
Tanquinho;CPR-L;25º BPM/FEIRA DE SANTANA;MAPEADO
Taperoá;CPR-R;31º BPM/VALENÇA;MAPEADO
Tapiramutá;CPR-CH;29º BPM/JACOBINA;MAPEADO
Teixeira de Freitas;CPR-ES;87ª CIPM/TEIXEIRA DE FREITAS;MAPEADO
Teodoro Sampaio;CPR-L;66ª CIPM/CONCEIÇÃO DO JACUÍPE;MAPEADO
Teofilândia;CPR-NE;16º BPM/SERRINHA;MAPEADO
Teolândia;CPR-R;60ª CIPM/GANDU;MAPEADO
Terra Nova;CPR-L;66ª CIPM/CONCEIÇÃO DO JACUÍPE;MAPEADO
Tremedal;CPR-SO;80ª CIPM/CANDIDO SALES;MAPEADO
Tucano;CPR-NE;5º BPM/EUCLIDES DA CUNHA;MAPEADO
Uauá;CPR-N;45ª CIPM/CURAÇA;MAPEADO
Ubaíra;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
Ubaitaba;CPR-S;61ª CIPM/UBAITABA;MAPEADO
Ubatã;CPR-S;61ª CIPM/UBAITABA;MAPEADO
Uibaí;CPR-CN;7º BPM/IRECÊ;MAPEADO
Umburanas;CPR-CH;29º BPM/JACOBINA;MAPEADO
Una;CPR-S;71ª CIPM/CANAVIEIRAS;MAPEADO
Urandi;CPR-MO;17º BPM/GUANAMBI;MAPEADO
Uruçuca;CPR-S;72ª CIPM/ITACARÉ;MAPEADO
Utinga;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Valença;CPR-R;31º BPM/VALENÇA;MAPEADO
Valente;CPR-NE;16º BPM/SERRINHA;MAPEADO
Várzea da Roça;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Várzea do Poço;CPR-CH;91ª CIPM/CAPIM GROSSO;MAPEADO
Várzea Nova;CPR-CH;29º BPM/JACOBINA;MAPEADO
Varzedo;CPR-R;14º BPM/SANTO ANTÔNIO DE JESUS;MAPEADO
Vera Cruz;CPR-R;23º BPM/VERA CRUZ;MAPEADO
Vereda;CPR-ES;44ª CIPM/MEDEIROS NETO;MAPEADO
Vitória da Conquista;CPR-SO;77ª, 78ª CIPM/VITÓRIA DA CONQUISTA | 92ª CIPM/VITÓRIA DA CONQUISTA;MULTIPLA
Wagner;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Wanderley;CPR-O;84ª CIPM/BARREIRAS;MAPEADO
Wenceslau Guimarães;CPR-R;60ª CIPM/GANDU;MAPEADO
Xique-Xique;CPR-CN;10ª CIPM/XIQUE-XIQUE;MAPEADO
